
-------------------
Convergence Report:
-------------------
"Bus.Node", "Error", "|V|","Vbase"
"bmt8910531b.1"    ,    0.00000,  8.17161E+0003,  7.96743E+0003
"bmt8910531b.2"    ,    0.00000,  8.11932E+0003,  7.96743E+0003
"bmt8910531b.3"    ,    0.00000,  8.14053E+0003,  7.96743E+0003
"bmt8910530b.1"    ,    0.00000,  8.17161E+0003,  7.96743E+0003
"bmt8910530b.2"    ,    0.00000,  8.11932E+0003,  7.96743E+0003
"bmt8910530b.3"    ,    0.00000,  8.14052E+0003,  7.96743E+0003
"bmt8910527b.1"    ,    0.00000,  8.17160E+0003,  7.96743E+0003
"bmt8910527b.2"    ,    0.00000,  8.11932E+0003,  7.96743E+0003
"bmt8910527b.3"    ,    0.00000,  8.14052E+0003,  7.96743E+0003
"bmt8910523b.1"    ,    0.00000,  8.17160E+0003,  7.96743E+0003
"bmt8910523b.2"    ,    0.00000,  8.11931E+0003,  7.96743E+0003
"bmt8910523b.3"    ,    0.00000,  8.14052E+0003,  7.96743E+0003
"bmt155623627.1"   ,    0.00000,  8.17160E+0003,  7.96743E+0003
"bmt155623627.2"   ,    0.00000,  8.11931E+0003,  7.96743E+0003
"bmt155623627.3"   ,    0.00000,  8.14052E+0003,  7.96743E+0003
