
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus            Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

bmt154146010      7.986      1.002    0.05423     0.6791   0.04768     0.597
bmt2616325b       7.986      1.002    0.05423     0.6791   0.04768     0.597
bmt2616451b       7.977      1.001    0.05635     0.7064   0.04846    0.6074
bmt125117283      7.972      1.001    0.05762     0.7228   0.04892    0.6136
bmt167772137      7.963     0.9994    0.05997     0.7532   0.04978    0.6252
bmt125127202      7.888       0.99          0          0         0         0
bmt2616500b       7.887       0.99          0          0         0         0
bmt154146011      7.986      1.002    0.05423     0.6791   0.04767    0.5969
bmt154146012      8.046       1.01          0          0         0         0
bmt2616395b       7.986      1.002    0.05424     0.6792   0.04767    0.5969
bmt125127293      7.985      1.002    0.05429     0.6799    0.0477    0.5973
bmt154146015      7.985      1.002     0.0543     0.6799    0.0477    0.5973
bmt154146013      7.985      1.002    0.05427     0.6797   0.04769    0.5972
bmt125127475      7.905     0.9921          0          0         0         0
bmt2617998b       7.905     0.9921          0          0         0         0
bmt154146016      8.006      1.005          0          0         0         0
bmt2618005b       7.985      1.002     0.0543       0.68    0.0477    0.5973
bmt1599379b       7.905     0.9921          0          0         0         0
bmt125127482      7.905     0.9921          0          0         0         0
bmt125127489      7.905     0.9921          0          0         0         0
bmt2617991b       7.905     0.9921          0          0         0         0
bmt1599393b       7.905     0.9921          0          0         0         0
bmt125127496      7.905     0.9921          0          0         0         0
bmt1599400b       7.985      1.002    0.05432     0.6802   0.04771    0.5974
bmt2618019b       7.985      1.002    0.05433     0.6803   0.04771    0.5975
bmt125127321      7.985      1.002    0.05435     0.6807   0.04772    0.5976
bmt154146017      7.985      1.002    0.05433     0.6804   0.04772    0.5976
bmt153996835      7.905     0.9921          0          0         0         0
bmt2618040b       7.904     0.9921          0          0         0         0
bmt2618229b       8.006      1.005          0          0         0         0
bmt2618257b       7.985      1.002    0.05433     0.6804   0.04772    0.5976
bmt1599421b       7.904     0.9921          0          0         0         0
bmt2618096b       7.904     0.9921          0          0         0         0
bmt154778365      7.903      0.992          0          0         0         0
bmt154778366      7.903      0.992          0          0         0         0
bmt153996836      7.903      0.992          0          0         0         0
bmt2618159b       7.903      0.992          0          0         0         0
bmt1599435b       7.903      0.992          0          0         0         0
bmt153996837      7.903      0.992          0          0         0         0
bmt2616598b       7.875     0.9884          0          0         0         0
bmt159981304      8.295      1.041          0          0         0         0
bmt159981306      8.295      1.041          0          0         0         0
bmt148125186      7.865     0.9871          0          0         0         0
bmt148125187      7.864      0.987          0          0         0         0
bmt148124741      7.863     0.9869          0          0         0         0
bmt148125188      7.864      0.987          0          0         0         0
bmt148124874      7.927      0.995    0.08501      1.072   0.04629    0.5839
bmt125133222      7.928      0.995    0.08478      1.069   0.04613    0.5818
bmt2575571b        7.94     0.9966    0.08102       1.02   0.04355    0.5484
bmt8702705b       7.941     0.9967    0.08068      1.016   0.04338    0.5462
bmt2575564b       7.942     0.9968    0.08054      1.014   0.04331    0.5453
bmt1599988b       8.188      1.028          0          0         0         0
bmt2609297b       8.188      1.028          0          0         0         0
bmt125124423      8.189      1.028          0          0         0         0
